Unnamed: 0,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
5942,Canada,Maize,2006,84737,537.0,36572.75,7.85
2093,Bangladesh,Wheat,1990,15034,2666.0,1266.0,25.98
12555,India,Soybeans,2001,9400,1083.0,43720.04,26.52
135,Algeria,"Rice, paddy",1997,15000,89.0,401.22,17.84
3526,Brazil,Yams,1999,92000,1761.0,127585.0,20.04
8701,Estonia,Potatoes,2011,178361,626.0,460.0,6.98
5453,Cameroon,Sorghum,2000,12000,1604.0,545.0,24.88
10433,Hungary,Sorghum,2001,21232,589.0,5458.0,10.47
26209,Tajikistan,Sorghum,1998,20704,691.0,676.63,8.34
1890,Azerbaijan,"Rice, paddy",1995,19890,447.0,148.68,12.81
1055,Australia,Wheat,1995,17899,534.0,25598.0,20.12
15521,Iraq,Wheat,2001,7405,216.0,837.47,20.8
26771,Turkey,Wheat,1999,19409,593.0,33089.0,11.69
8545,El Salvador,Cassava,2009,125022,1784.0,3333.88,26.21
14453,India,"Rice, paddy",2013,36070,1083.0,45620.0,27.11
6513,Chile,Potatoes,2013,233767,1522.0,9830.72,13.07
23396,Peru,Potatoes,1999,112513,1738.0,4029.0,16.65
11066,India,Maize,1993,16015,1083.0,66388.0,25.92
14486,India,Soybeans,2013,10123,1083.0,45620.0,27.1
16841,Japan,Sweet potatoes,2006,242377,1668.0,65248.26,15.45
11983,India,"Rice, paddy",1998,28805,1083.0,49157.0,26.69
27524,United Kingdom,Potatoes,1994,399956,1220.0,33929.0,9.86
21380,Nicaragua,Sorghum,1998,12512,2280.0,4373.1,27.83
16757,Japan,Sweet potatoes,2004,250372,1668.0,64688.88,16.33
11186,India,Wheat,1993,23267,1083.0,66388.0,26.1
17613,Kenya,Plantains and others,2012,120000,630.0,1578.0,16.84
7038,Croatia,Soybeans,2013,23606,1113.0,1836.21,11.58
22933,Pakistan,Sorghum,2010,6171,494.0,2968.44,19.52
23361,Peru,"Rice, paddy",1995,56180,1738.0,3134.0,17.26
11623,India,Potatoes,1996,169913,1083.0,56114.0,25.99
80,Albania,Potatoes,2009,219780,1485.0,1132.5,16.73
11683,India,Soybeans,1996,10319,1083.0,56114.0,25.75
27506,United Kingdom,Potatoes,1992,433870,1220.0,31077.0,8.05
23039,Pakistan,Potatoes,2012,183405,494.0,990.09,24.87
5169,Burundi,Maize,1993,14342,1274.0,96.99,21.17
1232,Australia,Maize,2000,49360,534.0,33475.0,19.07
14467,India,Sorghum,2013,8502,1083.0,45620.0,26.37
10207,Honduras,Sorghum,1995,8281,1976.0,7800.0,24.95
13166,India,Maize,2006,19125,1083.0,37423.0,26.39
7826,Ecuador,Sorghum,2004,20000,2274.0,29799.84,22.33
6955,Croatia,Maize,1996,52192,1113.0,3148.0,9.24
26462,Tunisia,Potatoes,1992,136250,207.0,909.0,18.54
21155,Netherlands,Potatoes,1991,386711,778.0,9338.0,9.32
20198,Mexico,Cassava,2010,131579,758.0,63402.29,20.9
12707,India,Sorghum,2002,7602,1083.0,42482.56,26.55
3290,Brazil,Soybeans,1997,22977,1761.0,110276.11,21.91
14177,India,Wheat,2011,29886,1083.0,55540.0,27.29
17781,Lesotho,Maize,1994,8629,788.0,0.3,14.22
4015,Brazil,Wheat,2005,19735,1761.0,232232.0,25.7
15526,Iraq,"Rice, paddy",2002,25000,216.0,878.68,23.76
10336,Honduras,Wheat,2010,5524,1976.0,5736.63,24.49
2438,Belarus,Wheat,2013,30610,618.0,9163.51,7.83
24503,Slovenia,Maize,2000,58821,1162.0,1468.0,11.45
16490,Japan,"Rice, paddy",1997,64163,1668.0,79821.18,13.43
19152,Mexico,Sweet potatoes,1992,202929,758.0,34468.93,21.0
16733,Japan,Maize,2004,25000,1668.0,64688.88,16.33
12030,India,Soybeans,1998,11001,1083.0,49157.0,26.27
18053,Lithuania,Potatoes,2012,170776,656.0,2559.9,6.31
24613,South Africa,Maize,1992,7853,495.0,16582.0,19.95
18412,Malawi,Wheat,2013,14058,1181.0,1500.27,19.68
10228,Honduras,Wheat,1997,6667,1976.0,6980.0,25.03
27345,Uganda,Soybeans,2012,5001,1180.0,88.0,24.03
19701,Mexico,Potatoes,2001,237799,758.0,31373.3,16.37
6792,Colombia,Cassava,2006,103639,3240.0,98328.63,22.6
26915,Turkey,Potatoes,2006,276077,593.0,27421.0,19.44
25464,Spain,Soybeans,2002,26667,636.0,40727.0,12.52
5852,Canada,Potatoes,2001,102703,537.0,38456.0,7.76
878,Australia,Soybeans,1991,15551,534.0,17866.0,18.73
21743,Pakistan,Soybeans,1990,5679,494.0,5299.0,24.81
27253,Uganda,"Rice, paddy",2001,15000,1180.0,88.0,23.47
2821,Brazil,Wheat,1992,14295,1761.0,67003.89,27.58
1678,Australia,Sweet potatoes,2011,319252,534.0,47632.99,16.9
4914,Bulgaria,Wheat,2006,34026,608.0,2103.5,9.08
19032,Mexico,Wheat,1990,42143,758.0,34468.93,21.46
9972,Guyana,Plantains and others,2013,33143,2387.0,358.72,27.3
11684,India,Soybeans,1996,10319,1083.0,56114.0,25.34
27909,Zambia,"Rice, paddy",1994,8859,1020.0,1080.0,21.2
19401,Mexico,Soybeans,1996,11429,758.0,34468.93,25.06
23871,Romania,Potatoes,2001,144769,637.0,7871.1,11.9
866,Australia,"Rice, paddy",1991,88427,534.0,17866.0,18.73
4304,Brazil,Wheat,2008,25497,1761.0,312637.0,17.88
26720,Turkey,Wheat,1997,20174,593.0,34431.0,18.65
19006,Mexico,"Rice, paddy",1990,37418,758.0,34468.93,21.46
13028,India,Potatoes,2005,188908,1083.0,35342.0,25.07
20588,Morocco,"Rice, paddy",1998,54108,346.0,12621.14,18.24
22927,Pakistan,Sorghum,2010,6171,494.0,2968.44,23.75
4544,Brazil,Potatoes,2011,262528,1761.0,345026.0,21.74
5315,Burundi,"Rice, paddy",2010,28268,1274.0,264.53,21.75
12429,India,Wheat,2000,27785,1083.0,44957.52,26.18
7225,Dominican Republic,Potatoes,1998,91000,1410.0,4375.0,27.14
18282,Malawi,Sorghum,1995,7261,1181.0,173.19,20.86
3889,Brazil,Soybeans,2004,23005,1761.0,214725.0,20.05
17767,Lesotho,Sorghum,1990,10112,788.0,0.3,14.48
12626,India,Cassava,2002,272746,1083.0,42482.56,24.91
20155,Mexico,"Rice, paddy",2009,48502,758.0,61690.08,23.23
7117,Dominican Republic,Sorghum,1991,19295,1410.0,4971.0,26.43
23116,Pakistan,Sorghum,2013,5987,494.0,0.92,24.27
25497,Spain,Potatoes,2005,269844,636.0,41017.0,12.26
17660,Latvia,Wheat,2007,35944,641.0,1113.49,7.25
27133,Turkey,"Rice, paddy",2013,81380,593.0,39440.0,16.02
19946,Mexico,Maize,2006,30012,758.0,50891.95,20.3
20319,Mexico,Cassava,2012,122330,758.0,64512.22,16.43
19085,Mexico,Soybeans,1991,21218,758.0,34468.93,16.13
3052,Brazil,Maize,1995,26005,1761.0,92967.22,27.52
26993,Turkey,Soybeans,2008,36490,593.0,37640.2,14.91
18603,Mali,Wheat,2000,23515,282.0,17.59,27.51
8759,France,Maize,1991,72866,867.0,103434.0,10.6
17764,Lebanon,Wheat,2013,32122,661.0,1816.0,20.08
18518,Mali,"Rice, paddy",1991,17274,282.0,54.63,27.58
4261,Brazil,"Rice, paddy",2008,42311,1761.0,312637.0,17.88
9360,Greece,"Rice, paddy",1996,77561,652.0,7296.0,17.46
19505,Mexico,Potatoes,1998,204955,758.0,34468.93,25.14
7485,Ecuador,Cassava,1991,47217,2274.0,2377.0,21.91
25723,Sri Lanka,Maize,1995,9695,1712.0,1735.5,26.59
15775,Italy,"Rice, paddy",1995,55206,832.0,84153.0,12.47
23365,Peru,Wheat,1995,12643,1738.0,3134.0,17.26
5316,Burundi,Sorghum,2010,10701,1274.0,264.53,21.75
22050,Pakistan,Sorghum,1995,6099,494.0,7681.0,26.09
3021,Brazil,Wheat,1994,15541,1761.0,84312.78,26.9
14152,India,Soybeans,2011,11998,1083.0,55540.0,27.02
15404,Iraq,Potatoes,1992,179167,216.0,692.0,21.52
11782,India,Potatoes,1997,193913,1083.0,52279.0,25.68
1788,Austria,Soybeans,1993,23168,1110.0,3984.0,8.48
14920,Indonesia,Maize,2000,27649,2702.0,1597.0,26.77
5696,Canada,Wheat,1994,21275,537.0,29206.0,5.95
9680,Guatemala,Wheat,2013,20240,1996.0,20489.4,20.37
21478,Nicaragua,Yams,2011,133333,2280.0,4932.05,26.94
10616,India,Soybeans,1990,10145,1083.0,75000.0,25.25
21592,Niger,Wheat,2004,17019,151.0,26.31,29.8
16214,Japan,Wheat,1990,36540,1668.0,79821.18,14.14
16673,Japan,Sweet potatoes,2001,251300,1668.0,78735.45,15.47
25036,South Africa,Potatoes,2008,340000,495.0,26857.0,15.75
10122,Haiti,Plantains and others,2009,95921,1440.0,27.85,27.35
7617,Ecuador,Wheat,1995,6951,2274.0,2658.0,21.96
5646,Canada,Wheat,1992,21603,537.0,29387.0,4.41
16796,Japan,Sweet potatoes,2005,258088,1668.0,63829.77,12.99
10908,India,Potatoes,1992,160294,1083.0,70791.0,25.73
5890,Canada,Maize,2004,82410,537.0,36138.0,7.02
18905,Mauritius,Cassava,1997,153846,2041.0,544.55,24.1
17422,Kenya,Maize,1992,17271,630.0,3469.0,16.34
668,Argentina,Maize,2009,55760,591.0,61586.56,18.09
15366,Indonesia,Soybeans,2013,14161,2702.0,1597.0,25.48
19963,Mexico,"Rice, paddy",2006,47857,758.0,50891.95,23.33
13424,India,Sorghum,2007,8443,1083.0,27422.77,24.59
27936,Zambia,Sweet potatoes,1997,17000,1020.0,1670.0,20.9
25344,Spain,Wheat,1996,30016,636.0,33236.0,11.96
17133,Japan,Sweet potatoes,2013,244119,1668.0,52794.3,16.3
7519,Ecuador,Plantains and others,1992,101582,2274.0,2012.0,17.67
20435,Mexico,Sweet potatoes,2013,183965,758.0,59920.18,24.19
24298,Saudi Arabia,Sorghum,2009,26312,59.0,4528.51,26.71
6491,Chile,Maize,2011,119978,1522.0,9830.72,13.25
5454,Cameroon,Soybeans,2000,6375,1604.0,545.0,24.88
1240,Australia,"Rice, paddy",2000,82573,534.0,33475.0,17.08
1941,Azerbaijan,Wheat,2005,25818,447.0,148.68,12.88
1456,Australia,Sorghum,2006,25205,534.0,35900.0,16.75
10928,India,"Rice, paddy",1992,26092,1083.0,70791.0,27.24
26056,Sweden,Potatoes,2002,287905,624.0,2198.0,7.96
4560,Brazil,"Rice, paddy",2011,48956,1761.0,345026.0,20.33
4408,Brazil,Wheat,2009,20802,1761.0,335742.0,18.84
2450,Belgium,Wheat,2004,89806,847.0,9186.0,10.94
22831,Pakistan,Wheat,2008,24514,494.0,4946.79,26.74
7975,Ecuador,Maize,2010,22348,2274.0,31637.12,17.79
8554,El Salvador,Maize,2010,30253,1784.0,3598.59,25.96
7067,Denmark,Wheat,1997,72057,703.0,3679.0,8.91
7336,Dominican Republic,Potatoes,2006,222125,1410.0,4116.45,27.01
3063,Brazil,Potatoes,1995,152304,1761.0,92967.22,27.52
4413,Brazil,Yams,2009,94599,1761.0,335742.0,20.78
8272,Egypt,Sweet potatoes,2004,281242,51.0,5363.0,22.08
16075,Jamaica,"Rice, paddy",1997,16111,2051.0,909.71,27.8
25005,South Africa,Maize,2007,27921,495.0,26857.0,18.98
15539,Iraq,"Rice, paddy",2004,28409,216.0,828.62,20.0
5523,Cameroon,Sorghum,2008,14323,1604.0,882.13,25.42
26028,Suriname,Plantains and others,2013,307428,2331.0,537.49,27.17
8345,Egypt,Maize,2010,72700,51.0,11590.0,22.46
15254,Indonesia,"Rice, paddy",2010,50153,2702.0,1597.0,27.69
11751,India,Cassava,1997,221117,1083.0,52279.0,26.38
8310,Egypt,Sorghum,2007,56763,51.0,9105.0,22.36
3718,Brazil,Wheat,2001,19488,1761.0,151523.0,25.59
19566,Mexico,Maize,1999,24720,758.0,34468.93,20.86
19512,Mexico,"Rice, paddy",1998,45108,758.0,34468.93,21.38
3360,Brazil,Potatoes,1998,156439,1761.0,118930.56,28.76
24554,Slovenia,Wheat,2013,43528,1162.0,917.49,11.58
25611,Spain,Soybeans,2010,23655,636.0,39043.0,12.01
17193,Kazakhstan,Soybeans,1995,8845,250.0,13535.0,6.53
16827,Japan,"Rice, paddy",2006,63359,1668.0,65248.26,15.92
1424,Australia,Soybeans,2005,16810,534.0,34310.0,18.26
9492,Guatemala,Wheat,1991,20124,1996.0,12004.33,19.91
8849,France,Maize,2007,94821,867.0,77255.0,11.75
9068,Germany,Potatoes,2006,365680,700.0,38540.15,10.55
2197,Bangladesh,Sorghum,1999,12346,2666.0,2532.0,26.31
8831,France,Maize,2004,89907,867.0,76099.0,11.34
1010,Australia,Sweet potatoes,1994,140961,534.0,21057.0,19.17
4808,Brazil,Yams,2013,96078,1761.0,367778.0,21.59
26706,Turkey,Potatoes,1997,241821,593.0,34431.0,10.13
415,Argentina,"Rice, paddy",1992,52075,591.0,26156.0,17.09
7449,Dominican Republic,Potatoes,2013,256603,1410.0,6316.61,26.88
4790,Brazil,Sweet potatoes,2013,130913,1761.0,367778.0,27.71
13556,India,Potatoes,2008,192973,1083.0,14485.33,24.51
5227,Burundi,Soybeans,1999,7778,1274.0,150.24,21.01
20056,Mexico,Wheat,2007,50824,758.0,64501.28,21.35
18020,Lithuania,Potatoes,2000,163916,656.0,688.06,7.69
9420,Greece,Wheat,2005,24058,652.0,12083.0,17.91
2755,Brazil,Maize,1992,22828,1761.0,67003.89,27.58
21518,Niger,Potatoes,1993,224600,151.0,62.0,29.64
20061,Mexico,Wheat,2007,50824,758.0,64501.28,16.8
1670,Australia,Sorghum,2011,30558,534.0,47632.99,19.99
13101,India,Sweet potatoes,2005,88477,1083.0,35342.0,24.12
1511,Australia,Sweet potatoes,2007,346237,534.0,32446.25,20.31
1017,Australia,Wheat,1994,11356,534.0,21057.0,17.36
8906,Germany,Potatoes,1991,298464,700.0,32006.0,9.36
22360,Pakistan,Sorghum,2000,6179,494.0,27885.0,23.6
16977,Japan,Yams,2009,211519,1668.0,60970.8,16.02
23764,Qatar,Wheat,1999,23056,74.0,52.5,28.62
20146,Mexico,Potatoes,2009,277374,758.0,61690.08,20.32
25830,Sri Lanka,"Rice, paddy",2009,38748,1712.0,1170.36,26.67
26620,Turkey,Wheat,1993,21642,593.0,28042.0,18.82
9685,Guinea,Sorghum,1990,16420,1651.0,80.0,27.08
17749,Lebanon,Maize,2010,37199,661.0,1816.0,21.26
13139,India,Wheat,2005,26016,1083.0,35342.0,26.72
6843,Colombia,Yams,2008,104870,3240.0,48538.97,27.16
22248,Pakistan,Soybeans,1998,12959,494.0,18406.0,26.41
7656,Ecuador,Potatoes,1997,89626,2274.0,7612.0,22.88
3560,Brazil,Potatoes,2000,171813,1761.0,140423.0,26.82
27100,Turkey,"Rice, paddy",2012,73539,593.0,42610.59,19.92
18784,Mauritania,Potatoes,2000,50000,92.0,39.09,27.66
21889,Pakistan,Wheat,1992,19910,494.0,5518.0,18.34
26534,Turkey,Potatoes,1990,224367,593.0,29918.0,17.94
21277,New Zealand,Potatoes,2005,460829,1732.0,4058.0,13.63
17602,Kenya,Maize,2011,15840,630.0,1578.0,16.9
14120,India,Sorghum,2011,9487,1083.0,55540.0,25.92
20359,Mexico,Soybeans,2012,17389,758.0,64512.22,16.43
23101,Pakistan,Potatoes,2013,218059,494.0,0.92,27.21
22297,Pakistan,Sorghum,1999,6167,494.0,20450.0,23.8
16700,Japan,"Rice, paddy",2002,65823,1668.0,70262.54,13.42
23793,Qatar,Potatoes,2010,92000,74.0,68.0,28.93
3320,Brazil,Wheat,1997,16359,1761.0,110276.11,25.96
7575,Ecuador,Potatoes,1994,81368,2274.0,2670.0,21.46
55,Albania,Maize,2002,39460,1485.0,691.75,16.47
2034,Bahamas,Cassava,2009,180917,1292.0,268.2,25.46
8780,France,Sorghum,1994,55026,867.0,89515.0,11.96
10100,Haiti,"Rice, paddy",2006,20755,1440.0,27.85,27.41
18349,Malawi,Cassava,2006,173116,1181.0,202.35,20.63
10369,Hungary,Wheat,1990,50771,589.0,12756.0,10.96
21708,Pakistan,Maize,1990,14014,494.0,5299.0,26.23
11984,India,"Rice, paddy",1998,28805,1083.0,49157.0,27.87
15918,Italy,Soybeans,2006,30987,832.0,74349.0,8.15
15986,Italy,Sorghum,2011,70972,832.0,70690.0,8.68
4588,Brazil,Sweet potatoes,2011,124266,1761.0,345026.0,21.74
8245,Egypt,Wheat,2001,63580,51.0,5039.0,21.45
27711,United Kingdom,Wheat,2013,73838,1220.0,17673.46,8.39
21185,Netherlands,Potatoes,2001,434106,778.0,9424.73,10.24
18681,Mali,Sorghum,2010,9951,282.0,3.84,28.18
12190,India,Sorghum,1999,8472,1083.0,46195.0,25.1
12038,India,Soybeans,1998,11001,1083.0,49157.0,24.84
6122,Canada,Soybeans,2013,28810,537.0,81659.8,8.46
20078,Mexico,Maize,2008,33071,758.0,61732.11,21.02
25798,Sri Lanka,"Rice, paddy",2005,35465,1712.0,1742.41,26.73
15289,Indonesia,"Rice, paddy",2011,49802,2702.0,1597.0,27.24
17440,Kenya,Yams,1993,67487,630.0,3469.0,16.36
4051,Brazil,Potatoes,2006,223802,1761.0,238716.0,18.47
7000,Croatia,Maize,2006,65312,1113.0,2150.0,10.56
10945,India,Sorghum,1992,9820,1083.0,70791.0,23.79
19256,Mexico,"Rice, paddy",1994,42555,758.0,34468.93,21.46
26831,Turkey,Potatoes,2002,262966,593.0,27915.0,10.81
19615,Mexico,Cassava,2000,113284,758.0,34468.93,16.11
24685,South Africa,Soybeans,1994,11473,495.0,16582.0,18.48
3384,Brazil,Sorghum,1998,17768,1761.0,118930.56,27.54
15962,Italy,Sweet potatoes,2009,177016,832.0,74172.0,8.11
6043,Canada,Potatoes,2010,128373,537.0,61050.0,6.73
13723,India,Potatoes,2009,188103,1083.0,28707.01,26.41
541,Argentina,Potatoes,2000,277566,591.0,63265.78,16.98
19432,Mexico,Maize,1997,23840,758.0,34468.93,20.99
5020,Burkina Faso,Yams,1997,69169,748.0,75.29,28.52
8954,Germany,Potatoes,1995,314059,700.0,30090.0,9.75
22551,Pakistan,Sorghum,2004,6062,494.0,8903.48,23.78
14842,Indonesia,Cassava,1998,121925,2702.0,1597.0,27.28
5939,Canada,Maize,2006,84737,537.0,36572.75,9.83
12610,India,Wheat,2001,27081,1083.0,43720.04,24.76
16925,Japan,Sweet potatoes,2008,248403,1668.0,58750.0,15.57
12008,India,Sorghum,1998,8592,1083.0,49157.0,26.27
1872,Azerbaijan,"Rice, paddy",1992,7292,447.0,148.68,10.93
1571,Australia,Potatoes,2009,361747,534.0,38065.68,20.65
5212,Burundi,Yams,1997,56226,1274.0,117.56,21.51
22512,Pakistan,Wheat,2002,22621,494.0,10881.83,25.61
17943,Libya,Potatoes,2005,157629,56.0,8314.0,19.48
8974,Germany,Wheat,1996,72932,700.0,31683.0,4.49
22624,Pakistan,Soybeans,2005,12000,494.0,7914.31,26.8
10939,India,"Rice, paddy",1992,26092,1083.0,70791.0,26.78
3679,Brazil,Sorghum,2001,18654,1761.0,151523.0,27.69
19191,Mexico,"Rice, paddy",1993,48725,758.0,34468.93,16.23
10782,India,Sorghum,1991,6553,1083.0,72133.0,25.06
12390,India,Soybeans,2000,8222,1083.0,44957.52,24.69
3647,Brazil,Maize,2001,34019,1761.0,151523.0,20.96
21456,Nicaragua,Maize,2009,15605,2280.0,9387.95,27.23
5802,Canada,Potatoes,1999,110517,537.0,44293.0,6.71
23774,Qatar,Maize,2004,126304,74.0,68.0,28.2
24746,South Africa,Sweet potatoes,1996,32037,495.0,19508.0,15.23
1068,Australia,Potatoes,1996,312853,534.0,31185.0,11.29
16736,Japan,Potatoes,2004,330734,1668.0,64688.88,14.05
27396,Ukraine,Sorghum,1998,6087,565.0,37200.78,7.74
17023,Japan,Maize,2011,25797,1668.0,51796.3,15.71
12457,India,Cassava,2001,266998,1083.0,43720.04,26.9
24848,South Africa,Sorghum,2000,33246,495.0,26857.0,15.13
606,Argentina,Potatoes,2005,283917,591.0,65437.73,17.83
16253,Japan,Sweet potatoes,1991,205631,1668.0,79821.18,15.49
19613,Mexico,Wheat,1999,46310,758.0,34468.93,16.18
10445,Hungary,Sorghum,2004,20336,589.0,9940.5,10.37
16862,Japan,Potatoes,2007,340000,1668.0,61164.07,13.68
12540,India,Sorghum,2001,7715,1083.0,43720.04,25.86
4063,Brazil,"Rice, paddy",2006,38798,1761.0,238716.0,18.47
3229,Brazil,Yams,1996,91837,1761.0,101621.67,20.18
16456,Japan,Soybeans,1996,18093,1668.0,79821.18,14.79
11864,India,Soybeans,1997,10789,1083.0,52279.0,26.53
14583,Indonesia,Sweet potatoes,1990,94450,2702.0,2432.0,27.18
20500,Morocco,Maize,1992,4753,346.0,10178.29,17.56
6056,Canada,Wheat,2010,28085,537.0,61050.0,7.77
20869,Mozambique,Wheat,2000,10000,1032.0,34.69,21.51
3093,Brazil,Soybeans,1995,21998,1761.0,92967.22,20.61
2439,Belgium,Maize,2000,111006,847.0,9560.49,11.37
3025,Brazil,Wheat,1994,15541,1761.0,84312.78,25.42
13677,India,Cassava,2009,343433,1083.0,28707.01,27.15
27749,Uruguay,Potatoes,1995,100603,1300.0,2413.02,16.66
21891,Pakistan,Maize,1993,13983,494.0,4945.0,25.04
17385,Kazakhstan,Soybeans,2012,20128,250.0,8674.58,6.07
16300,Japan,Wheat,1992,35371,1668.0,79821.18,15.21
18500,Malaysia,"Rice, paddy",2012,37972,2875.0,49810.48,27.36
11285,India,"Rice, paddy",1994,28645,1083.0,61357.0,25.75
8550,El Salvador,Sorghum,2009,17133,1784.0,3333.88,26.21
10791,India,Soybeans,1991,7825,1083.0,72133.0,23.77
5606,Canada,Maize,1991,67098,537.0,29477.5,7.55
11476,India,Sorghum,1995,8235,1083.0,61257.0,25.92
21174,Netherlands,Wheat,1997,77309,778.0,10568.0,10.03
19923,Mexico,Sweet potatoes,2005,214928,758.0,51741.99,22.95
2879,Brazil,"Rice, paddy",1993,22912,1761.0,75658.33,18.69
1465,Australia,Soybeans,2006,20993,534.0,35900.0,13.99
24547,Slovenia,Maize,2012,70816,1162.0,1016.08,11.12
27425,Ukraine,"Rice, paddy",2004,37746,565.0,15344.4,8.32
13364,India,Potatoes,2007,164101,1083.0,27422.77,25.98
5476,Cameroon,Wheat,2002,13340,1604.0,815.79,25.26
16850,Japan,Yams,2006,225059,1668.0,65248.26,13.28
18987,Mexico,Maize,1990,19942,758.0,34468.93,22.63
11747,India,Cassava,1997,221117,1083.0,52279.0,25.75
5830,Canada,Soybeans,2000,25483,537.0,39667.0,6.93
13180,India,Maize,2006,19125,1083.0,37423.0,25.31
7825,Ecuador,Sorghum,2004,20000,2274.0,29799.84,17.73
21390,Nicaragua,Yams,1999,132829,2280.0,4097.16,26.82
12933,India,Sweet potatoes,2004,88588,1083.0,35113.0,25.59
4135,Brazil,Cassava,2007,140099,1761.0,304031.0,24.78
723,Argentina,Soybeans,2012,22814,591.0,136185.08,18.18
14582,Indonesia,Sweet potatoes,1990,94450,2702.0,2432.0,27.11
11774,India,Maize,1997,17111,1083.0,52279.0,24.55
25333,Spain,"Rice, paddy",1996,69838,636.0,33236.0,17.01
20773,Morocco,Soybeans,2012,10000,346.0,13697.0,18.24
22500,Pakistan,Soybeans,2002,12647,494.0,10881.83,27.0
20843,Mozambique,Maize,1997,9033,1032.0,60.63,21.54
6157,Central African Republic,Yams,1993,67058,1342.0,0.25,25.14
11169,India,Sweet potatoes,1993,85962,1083.0,66388.0,26.34
23054,Pakistan,Sorghum,2012,6203,494.0,990.09,27.23
8914,Germany,Wheat,1991,67712,700.0,32006.0,4.93
23314,Peru,Plantains and others,1990,121397,1738.0,3134.0,16.84
720,Argentina,"Rice, paddy",2012,66617,591.0,136185.08,18.43
12219,India,Sweet potatoes,1999,85744,1083.0,46195.0,27.21
17926,Libya,Potatoes,2001,195000,56.0,4284.5,21.1
18306,Malawi,Maize,1999,18109,1181.0,123.64,20.26
12579,India,Sweet potatoes,2001,88368,1083.0,43720.04,25.59
13383,India,Potatoes,2007,164101,1083.0,27422.77,25.82
12818,India,Maize,2004,19073,1083.0,35113.0,26.24
6964,Croatia,Wheat,1997,40000,1113.0,3026.25,10.18
7217,Dominican Republic,Yams,1997,51088,1410.0,3846.0,27.01
15384,Iraq,Sorghum,1990,7273,216.0,692.0,23.41
16681,Japan,Yams,2001,207982,1668.0,78735.45,15.86
26431,Thailand,"Rice, paddy",2010,29921,1622.0,68986.0,28.54
26493,Tunisia,Sorghum,2002,4404,207.0,706.18,19.74
